concept,category,terms,verdict,priority,note
agar agar,baking,أجار|agar,,long-tail,
all-purpose flour,baking,دقيق|flour|da2ee2,,,
almond flour,baking,دقيق لوز|almond flour,,P2,
baking chocolate,baking,شوكولاتة خام|baking chocolate,,,
baking powder,baking,بيكنج بودر|baking powder,,,
baking soda,baking,بيكنج صودا|baking soda|bicarb,,,
brown sugar,baking,سكر بني|brown sugar,,,
cake flour,baking,دقيق كيك|cake flour,form,,
cake mix,baking,ميكس كيك|cake mix,,P2,
cake sprinkles,baking,حبيبات تزيين|sprinkles,,long-tail,
chocolate chips,baking,شوكولاتة شيبس|chocolate chips,,P2,
citric acid,baking,ملح ليمون|citric acid,,,
cocoa butter,baking,زبدة كاكاو|cocoa butter,,long-tail,
cocoa powder,baking,كاكاو|cocoa,,,
coconut flakes,baking,جوز هند|coconut flakes,,,
corn syrup,baking,شراب الذرة|corn syrup|glucose,,,
cornflour / starch,baking,نشا|cornflour|starch,,,
cream caramel mix,baking,كريم كراميل|cream caramel,,P2,
custard powder,baking,كسترد|custard powder,,,
date syrup,baking,عسل بلح|date syrup,,,
food colouring,baking,ألوان طعام|food colouring,,,
gelatin,baking,جيلاتين|gelatin,,,
glucose syrup,baking,جلوكوز|glucose,form,,
honey,baking,عسل نحل|honey|asal nahl,,,
icing sugar,baking,سكر بودرة|icing sugar,,,
jelly / jelly powder,baking,جيلي|jelly powder,,P1,
mahalabeya mix,baking,مهلبية|mahalabeya,dish,,
orange blossom water,baking,ماء زهر|orange blossom,,,
rose water,baking,ماء ورد|rose water,,,
sahlab powder,baking,سحلب|sahlab,,P1,
sugar,baking,سكر|sugar|sokkar,,,
sweetener tablets,baking,سكر دايت|sweetener,,P2,
yeast,baking,خميرة|yeast|khamira,,,
baguette / feeno,bread and bakery,فينو|baguette|feeno,,,
baladi bread,bread and bakery,عيش بلدي|baladi bread|aish baladi,,,
bataw bread,bread and bakery,بتاو|bataw,,long-tail,
bran / brown baladi bread,bread and bakery,عيش سن|bran bread,form,,
bread sticks,bread and bakery,بقسماط طويل|breadsticks,,long-tail,
breadcrumbs / bo'smat,bread and bakery,بقسماط|breadcrumbs|rusk,,,
burger buns,bread and bakery,خبز برجر|burger buns,,P2,
croissant,bread and bakery,كرواسون|croissant,,P2,
feteer meshaltet,bread and bakery,فطير مشلتت|feteer,dish,,
filo / goulash pastry,bread and bakery,جلاش|filo|phyllo,,,
kahk,bread and bakery,كحك|kahk,dish,,
katayef batter,bread and bakery,قطايف|katayef,dish,,
kunafa dough,bread and bakery,كنافة|kunafa|konafa,,P1,
kunafa nabulsia,bread and bakery,كنافة نابلسية|kunafa nabulsia,form,,
pizza dough,bread and bakery,عجينة بيتزا|pizza dough,,P2,
puff pastry,bread and bakery,عجينة بف|puff pastry,,,
roqaq sheets,bread and bakery,رقاق|roqaq,,,
rusk fingers,bread and bakery,بقسماط أصابع|rusk fingers,form,,
samoon,bread and bakery,صامولي|samoon,,P2,
semit,bread and bakery,سميط|semit|simit,,,
shami / pita bread,bread and bakery,عيش شامي|pita bread|shami,,,
shamsi bread,bread and bakery,عيش شمسي|shamsi bread,,P2,
shawarma bread,bread and bakery,عيش شاورما|shawarma bread,form,,
toast bread,bread and bakery,عيش توست|toast bread,,,
tortilla,bread and bakery,تورتيلا|tortilla|wrap,,,
baba ganoush,breakfast,بابا غنوج|baba ganoush,,,
cheese spread,breakfast,جبنة سايحة|cheese spread,,,
chocolate spread,breakfast,نوتيلا|chocolate spread,,P1,
corn flakes,breakfast,كورن فليكس|corn flakes,,,
cornflakes with milk,breakfast,كورن فليكس باللبن|cereal bowl,dish,,
"eggs, boiled",breakfast,بيض مسلوق|boiled eggs,dish,,
falafel / taameya mix,breakfast,دقيق فلافل|falafel mix|taameya,,,
foul with oil,breakfast,فول بالزيت|foul bil zeit,dish,,
halawa tehinia,breakfast,حلاوة طحينية|halawa|halva,,,
honey comb,breakfast,شمع عسل|honeycomb,,long-tail,
hummus dip,breakfast,حمص بالطحينة|hummus dip,,,
jam,breakfast,مربى|jam|mrabba,,,
molasses tahini mix,breakfast,عسل بطحينة|molasses tahini,dish,,
peanut butter,breakfast,زبدة فول سوداني|peanut butter,,,
tahini salad,breakfast,سلطة طحينة|tahini salad,,,
canned chickpeas,canned and jarred,حمص معلب|canned chickpeas,form,,
canned cream,canned and jarred,كريمة معلبة|canned cream,form,,
canned fava beans,canned and jarred,فول معلب|canned fava,form,,
canned mushroom,canned and jarred,مشروم معلب|canned mushroom,form,,
canned peas,canned and jarred,بسلة معلبة|canned peas,form,,
canned sardines,canned and jarred,سردين معلب|canned sardines,form,,
canned sweetcorn,canned and jarred,ذرة معلبة|canned corn,form,,
canned tuna,canned and jarred,تونة معلبة|canned tuna,,,
capers,canned and jarred,كبر|capers,,,
coconut cream,canned and jarred,كريمة جوز الهند|coconut cream,,P2,
coconut milk,canned and jarred,لبن جوز الهند|coconut milk,,,
green olives stuffed,canned and jarred,زيتون محشي|stuffed olives,form,,
jarred tahini,canned and jarred,طحينة معلبة|jarred tahini,form,,
olives,canned and jarred,زيتون|olives|zeitoun,,,
pickled lemon,canned and jarred,ليمون مخلل|pickled lemon,,P2,
pickled turnip,canned and jarred,لفت مخلل|pickled turnip,form,,
pickles,canned and jarred,مخلل|pickles|torshi,,,
sun-dried tomato,canned and jarred,طماطم مجففة|sun dried tomato,,,
areesh cheese,cheese,جبنة قريش|areesh|kariesh,,,
baramili cheese,cheese,برميلي|baramili,form,,
blue cheese,cheese,جبنة زرقاء|blue cheese,,long-tail,
cheddar,cheese,شيدر|cheddar,,,
cheese slices,cheese,جبنة شرائح|cheese slices,form,,
cream cheese,cheese,جبنة كريمي|cream cheese,,,
domiati cheese,cheese,دمياطي|domiati,form,,
edam,cheese,إيدام|edam,,P2,
feta,cheese,فيتا|feta,form,,
gouda,cheese,جودة|gouda,,P2,
halloumi,cheese,حلومي|halloumi,,,
istanbouly cheese,cheese,إسطنبولي|istanbouly,form,,
kashkaval,cheese,قشقوان|kashkaval,,,
labneh,cheese,لبنة|labneh|labna,,,
mascarpone,cheese,ماسكاربوني|mascarpone,,P2,
mish cheese,cheese,مش|mish|mesh,,,
mozzarella,cheese,موتزاريلا|mozzarella,,,
parmesan,cheese,بارميزان|parmesan,,,
processed cheese triangles,cheese,جبنة مثلثات|cheese triangles|مثلثات,,,
ricotta,cheese,ريكوتا|ricotta,,P2,
roumy cheese,cheese,جبنة رومي|roumy cheese|gebna rumi,,,
talaga cheese,cheese,جبنة طلاجة|talaga,,,
whipping cream,cheese,كريمة خفق|whipping cream,,P1,
white brined cheese,cheese,جبنة بيضاء|white cheese|gebna beida,,,
ayran / yoghurt drink,dairy and eggs,عيران|ayran|laban ayran,,P2,
butter,dairy and eggs,زبدة|butter|zebda,,,
buttermilk / laban rayeb,dairy and eggs,لبن رايب|rayeb|buttermilk,,,
cheese whey,dairy and eggs,مصل اللبن|whey,,long-tail,
clotted cream / eshta,dairy and eggs,قشطة|eshta|clotted cream,,,
condensed milk,dairy and eggs,لبن مكثف|condensed milk,,,
cooking cream,dairy and eggs,كريمة طهي|cooking cream|krema,,,
duck eggs,dairy and eggs,بيض بط|duck eggs,,long-tail,
egg white,dairy and eggs,بياض البيض|egg white,,,
egg yolk,dairy and eggs,صفار البيض|egg yolk,,,
eggs,dairy and eggs,بيض|eggs|beid,,,
